Name,Country,Gender,Age,Weight (lbs),Height (in),Marathon,Half Marathon,10K,5K
De Carvalho Tatiele Roberta,BRA,M,26,110,61,,,32:09.14,
Nawowuna Alice Aprot,KEN,M,22,119,60,,,31:02,15:16.74
Kuijken Susan,NED,M,30,119,68,,,31:31.97,15:00.69
Huddle Molly,USA,M,31,106,65,,,31:21,14:57.31
Gebre Trihas,ESP,M,26,108,64,2:38:47,,32:03.39,15:27.94
Abera Tesfaye,ETH,M,24,150,76,,,,
Rupp Galen,USA,M,30,134,71,2:10:05,,26:44.36,13:01.26
Ghebreslassie Ghirmay,ERI,M,20,,,2:07:46,,28:21,
Abraham Tadesse,SUI,M,34,134,70,2:06:40,,29:05.62,
Berhanu Lemi,ETH,M,21,117,66,2:04:33,,28:06,
Biwott Stanley Kipleting,KEN,M,30,134,60,2:03:51,,28:00,
Meucci Daniele,ITA,M,30,141,70,2:11:08,,28:19,13:50.26
Kipchoge Eliud,KEN,M,31,126,66,2:03:05,,28:11,12:55.72
Kiprotich Stephen,UGA,M,27,,,,,,
Dos Santos Marilson,BRA,M,39,128,69,2:06:34,,27:48,13:19.43
Lilesa Feyisa,ETH,M,26,148,69,2:04:52,,27:38,13:34.80
Ozbilen Kaan Kigen,TUR,M,30,126,70,2:06:10,,27:25,13:17.46
Keflezighi Mebrahtom,USA,M,41,123,65,2:09:08,,27:58,13:59.75
Korir Wesley,KEN,M,33,119,70,2:06:13,,,
Moradi Mohammadjafar,IRI,M,26,137,67,2:17:41,,,
Westcott Scott,AUS,M,40,141,70,2:11:36,,28:19.41,13:33.35
Sitkovskyy Oleksandr,UKR,M,38,150,72,2:09:11,,28:52.9,
Ayala Derlys,PAR,M,26,165,70,2:17:32,,,
Flugel Julian,GER,M,30,146,72,2:13:57,,,
Gillis Eric,CAN,M,36,128,68,2:11:21,,28:07.19,13:36.03
Da Silva Solonei,BRA,M,34,143,68,2:11:32,,29:17.8,
Simbu Alphonce Felix,TAN,M,24,121,,2:09:19,,28:12,
Prodius Roman,MDA,M,35,154,72,2:12:31,,,14:55.71
Nkoka Lebenya,LES,M,33,,,2:15:31,,,
Kisri Rachid,MAR,M,41,132,70,2:06:48,,28:36,
Van Schuerbeeck Willem,BEL,M,31,132,70,2:12:49,,,
Gopi Thanackal,IND,M,28,123,65,2:15:25,,,
Niyonkuru Abraham,BDI,M,26,115,64,2:16:33,,28:25,13:34.25
